Rank,RatingTomatometer,Title,No. of Reviews
1.,97%,Black Panther (2018),495
2.,94%,Avengers: Endgame (2019),505
3.,93%,Us (2019),515
4.,97%,Toy Story 4 (2019),429
5.,99%,Lady Bird (2017),384
6.,97%,Mission: Impossible - Fallout (2018),416
7.,98%,The Wizard of Oz (1939),116
8.,96%,The Irishman (2019),423
9.,100%,Citizen Kane (1941),85
10.,96%,BlacKkKlansman (2018),418
11.,100%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),52
12.,98%,Get Out (2017),373
13.,97%,Spider-Man: Into the Spider-Verse (2018),375
14.,97%,Mad Max: Fury Road (2015),413
15.,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",65
16.,98%,Casablanca (1942),89
17.,98%,Moonlight (2016),374
18.,100%,Modern Times (1936),58
19.,97%,Booksmart (2019),344
20.,90%,A Star Is Born (2018),501
21.,98%,The Farewell (2019),322
22.,93%,Wonder Woman (2017),445
23.,93%,Dunkirk (2017),443
24.,99%,The Third Man (1949),80
25.,98%,It Happened One Night (1934),59
26.,98%,Inside Out (2015),362
27.,99%,Eighth Grade (2018),297
28.,95%,Roma (2018),377
29.,97%,La Grande illusion (Grand Illusion) (1938),66
30.,97%,Coco (2017),337
31.,97%,Spotlight (2015),364
32.,98%,The Godfather (1972),95
33.,95%,A Quiet Place (2018),367
34.,91%,Star Wars: The Last Jedi (2017),462
35.,98%,Snow White and the Seven Dwarfs (1937),52
36.,99%,Selma (2014),304
37.,98%,E.T. The Extra-Terrestrial (1982),129
38.,100%,Singin' in the Rain (1952),59
39.,92%,The Shape of Water (2017),434
40.,99%,All About Eve (1950),74
41.,93%,Thor: Ragnarok (2017),410
42.,94%,Arrival (2016),417
43.,98%,King Kong (1933),62
44.,93%,Logan (2017),405
45.,91%,Spider-Man: Far From Home (2019),427
46.,100%,The Bride of Frankenstein (1935),45
47.,98%,The Big Sick (2017),292
48.,94%,Incredibles 2 (2018),370
49.,100%,Shadow of a Doubt (1943),45
50.,95%,Call Me by Your Name (2018),346
51.,93%,The Favourite (2018),387
52.,100%,Paddington 2 (2018),238
53.,93%,Star Wars: Episode VII - The Force Awakens (2015),430
54.,100%,The Adventures of Robin Hood (1938),46
55.,96%,Gravity (2013),347
56.,100%,Laura (1944),61
57.,100%,Leave No Trace (2018),225
58.,97%,Boyhood (2014),314
59.,85%,Once Upon a Time In Hollywood (2019),530
60.,98%,Alien (1979),120
61.,100%,Top Hat (1935),40
62.,96%,Manchester by the Sea (2016),339
63.,96%,Argo (2012),352
64.,100%,The Maltese Falcon (1941),55
65.,95%,12 Years a Slave (2013),359
66.,98%,A Hard Day's Night (1964),108
67.,93%,Baby Driver (2017),373
68.,99%,The Battle of Algiers (La Battaglia di Algeri) (1967),87
69.,98%,Zootopia (2016),283
70.,91%,La La Land (2016),445
71.,94%,War for the Planet of the Apes (2017),347
72.,100%,The Philadelphia Story (1940),61
73.,96%,The Florida Project (2017),299
74.,97%,Metropolis (1927),126
75.,92%,Spider-Man: Homecoming (2017),384
76.,100%,Rebecca (1940),60
77.,91%,Widows (2018),396
78.,100%,Seven Samurai (Shichinin no Samurai) (1956),62
79.,99%,The Night of the Hunter (1955),69
80.,99%,North by Northwest (1959),76
81.,98%,Won't You Be My Neighbor? (2018),241
82.,99%,Shoplifters (Manbiki kazoku) (2018),219
83.,100%,M (1931),54
84.,98%,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief) (1949),62
85.,98%,Sunset Boulevard (1950),63
86.,90%,Shazam! (2019),392
87.,99%,Rear Window (1954),70
88.,96%,Touch of Evil (1958),76
89.,97%,Hell or High Water (2016),276
90.,95%,Psycho (1960),96
91.,98%,Up (2009),294
92.,100%,Toy Story 2 (1999),168
93.,96%,The 39 Steps (1935),48
94.,98%,The Lady Vanishes (1938),44
95.,98%,A Streetcar Named Desire (1951),59
96.,99%,Chinatown (1974),72
97.,100%,Pinocchio (1940),52
98.,91%,Captain America: Civil War (2016),406
99.,100%,12 Angry Men (Twelve Angry Men) (1957),52
100.,98%,Toy Story 3 (2010),305
